state_abr,state,county,man_test,Import_wholecarc_ban,export_wholecarc_ban,bait_ban,import_live_cervid_ban,export_live_cervid_ban,statewide_regs,link
AL,Alabama,Fayette,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Franklin,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Geneva,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Greene,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Hale,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Henry,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Houston,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Jackson,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Jefferson,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Lamar,0,1,0,License Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Lauderdale,1,1,1,1,1,1,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Lawrence,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Lee,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Limestone,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Lowndes,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Macon,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Madison,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Marengo,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Marion,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Marshall,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Mobile,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Monroe,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Montgomery,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Morgan,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Perry,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Pickens,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Pike,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Randolph,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Russell,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Shelby,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,St. Clair,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Sumter,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Talladega,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Tallapoosa,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Tuscaloosa,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Walker,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Washington,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Wilcox,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
AL,Alabama,Winston,0,1,0,Licence Required,1,0,Skull plates and teeth must be cleaned before tranportation. Urine based attractants must be from ATA-certified facilities,
MN,Minnesota,Aitkin,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",https://www.dnr.state.mn.us/cwd/index.html
MN,Minnesota,Anoka,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",https://files.dnr.state.mn.us/wildlife/research/health/disease/cwd/cwd_responseplan.pdf
MN,Minnesota,Becker,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Beltrami,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Benton,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Big Stone,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Blue Earth,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Brown,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Carlton,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Carver,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Cass,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Chippewa,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Chisago,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Clay,1,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Clearwater,1,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Cook,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Cottonwood,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Crow Wing,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Dakota,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Dodge,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Douglas,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Faribault,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Fillmore,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Freeborn,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Goodhue,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Grant,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Hennepin,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Houston,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Hubbard,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Isanti,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Itasca,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Jackson,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Kanabec,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,KandiYesohi,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Kittson,1,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Koochiching,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Lac qui Parle,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Lake,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Lake of the Woods,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Le Sueur,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Lincoln,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,LYeson,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Mahnomen,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Marshall,1,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Martin,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,McLeod,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Meeker,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Mille Lacs,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Morrison,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Mower,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,MurraYes,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Nicollet,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Nobles,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Norman,1,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Olmsted,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Otter Tail,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Pennington,1,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Pine,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Pipestone,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Polk,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Pope,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,RamseYes,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Red Lake,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Redwood,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Renville,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Rice,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Rock,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Roseau,1,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Scott,1,1,1,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Sherburne,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,SibleYes,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,St. Louis,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Stearns,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Steele,1,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Stevens,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Swift,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Todd,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
MN,Minnesota,Traverse,0,1,0,1,1,0,"Skull plates,capes, and teeth must be cleaned before transportation. Meat must be completely deboned before transportation.Urine based attractants are banned in counties where CWD was found in wild deer. Finished taxidermy mounts are allowd to be transported.",
